SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (5+ Unit),3532 Jasmine Ave,Los Angeles (City),CA,90034,2500000,15,12.0,Palms/Mar Vista,7009,7425,1964,22,357,,Active,,,http://www.redfin.com/CA/Los-Angeles/3532-Jasmine-Ave-90034/home/6793564,TheMLS,18-414856,N,Y,34.0270111,-118.405562
MLS Listing,,Multi-Family (5+ Unit),2008 South Robertson,Los Angeles (City),CA,90034,6295000,5,5.0,Beverlywood Vicinity,16572,16117,1954,36,380,,Active,,,http://www.redfin.com/CA/Los-Angeles/2008-S-Robertson-Blvd-90034/home/6786650,TheMLS,18-410618,N,Y,34.041937,-118.3870306
MLS Listing,,Multi-Family (2-4 Unit),9703 National Blvd,Los Angeles (City),CA,90034,1199950,4,4.0,Beverlywood Vicinity,2470,2500,1970,49,486,,Active,,,http://www.redfin.com/CA/Los-Angeles/9703-National-Blvd-90034/home/6792505,TheMLS,18-407398,N,Y,34.0316022,-118.3988983
MLS Listing,,Multi-Family (5+ Unit),3623 Dunn Dr,Los Angeles (City),CA,90034,2100000,7,7.0,Palms/Mar Vista,3823,5438,1963,53,549,,Active,,,http://www.redfin.com/CA/Los-Angeles/3623-Dunn-Dr-90034/home/6793723,TheMLS,18-406016,N,Y,34.0265352,-118.4027551
MLS Listing,,Multi-Family (5+ Unit),3327 Livonia Ave,Los Angeles (City),CA,90034,7450000,28,30.0,Beverlywood Vicinity,21743,16881,1980,55,343,,Active,,,http://www.redfin.com/CA/Los-Angeles/3327-Livonia-Ave-90034/home/6793058,TheMLS,18-405350,N,Y,34.0304472,-118.3928961
MLS Listing,,Multi-Family (5+ Unit),3658 Midvale Ave,Los Angeles (City),CA,90034,3050000,15,9.0,Palms/Mar Vista,6350,7991,1958,96,480,,Active,,,http://www.redfin.com/CA/Los-Angeles/3658-Midvale-Ave-90034/unit-5/home/6752145,TheMLS,18-391104,N,Y,34.0192699,-118.4125463
MLS Listing,,Multi-Family (5+ Unit),2330 South Corning St,Los Angeles (City),CA,90034,9995000,48,52.0,Beverlywood Vicinity,34471,30000,1964,104,290,,Active,,,http://www.redfin.com/CA/Los-Angeles/2330-S-Corning-St-90034/home/6786125,TheMLS,18-388192,N,Y,34.0382628,-118.3803183
MLS Listing,,Multi-Family (5+ Unit),3431 Vinton Ave,Los Angeles (City),CA,90034,3295000,12,11.0,Palms/Mar Vista,7598,7497,1964,132,434,,Active,,,http://www.redfin.com/CA/Los-Angeles/3431-Vinton-Ave-90034/home/6794730,TheMLS,18-378188,N,Y,34.0275613,-118.4082321
MLS Listing,,Multi-Family (5+ Unit),3523 S Sepulveda Blvd,Los Angeles,CA,90034,1800000,8,5.0,C13 - Palms - Mar Vista,4378,6002,1953,189,411,,Active,,,http://www.redfin.com/CA/Los-Angeles/3523-S-Sepulveda-Blvd-90034/home/6751486,CRISNet,SR18151770,N,Y,34.0183665,-118.4219237
MLS Listing,,Multi-Family (5+ Unit),9337 National,Los Angeles (City),CA,90034,2585000,11,12.0,Beverlywood Vicinity,6344,6850,1964,385,407,,Active,,,http://www.redfin.com/CA/Los-Angeles/9337-National-Blvd-90034/home/6792934,TheMLS,17-295776,N,Y,34.031623,-118.3954072
MLS Listing,,Multi-Family (2-4 Unit),3672 Greenfield Ave,Los Angeles (City),CA,90034,1245000,4,3.0,Palms/Mar Vista,1282,4995,1948,827,971,,Active,,,http://www.redfin.com/CA/Los-Angeles/3672-Greenfield-Ave-90034/home/6751892,TheMLS,16-165890,N,Y,34.017427,-118.414696
PAST SALE,October-26-2018,Multi-Family (2-4 Unit),9302 Exposition Blvd,Los Angeles,CA,90034,830000,3,2.0,C13 - Palms - Mar Vista,1100,3595,1949,67,755,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9302-Exposition-Blvd-90034/home/6794243,CRMLS,SB18144290,N,Y,34.0282951,-118.3963794
PAST SALE,June-1-2018,Multi-Family (5+ Unit),1975 South Garth Ave,Los Angeles (City),CA,90034,1860000,16,11.0,Beverlywood Vicinity,6426,6299,1962,214,289,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1975-S-Garth-Ave-90034/home/6786992,TheMLS,17-279592,N,Y,34.0410714,-118.379382
PAST SALE,September-11-2018,Multi-Family (5+ Unit),3755 South Canfield Ave,Los Angeles (City),CA,90034,2140000,10,7.0,Palms/Mar Vista,4518,6761,1962,112,474,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3755-S-Canfield-Ave-90034/home/6794236,TheMLS,18-372616,N,Y,34.0267016,-118.3951642
PAST SALE,May-16-2018,Multi-Family (2-4 Unit),3710 Dunn Dr,Los Angeles (City),CA,90034,1630000,4,4.0,Palms/Mar Vista,3060,5540,1957,230,533,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3710-Dunn-Dr-90034/home/8143011,TheMLS,18-320066,N,Y,34.0250588,-118.4009066
PAST SALE,June-19-2018,Multi-Family (5+ Unit),3300 Castle Heights Ave,Los Angeles (City),CA,90034,3740000,1,1.0,Beverlywood Vicinity,11213,11600,1953,196,334,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3300-Castle-Heights-Ave-90034/home/6792487,TheMLS,18-315790,N,Y,34.0312019,-118.3995373
PAST SALE,December-10-2018,Multi-Family (2-4 Unit),5841 Ernest Ave,Los Angeles,CA,90034,900000,7,4.0,C09 - Beverlywood Vicinity,3840,5000,1924,22,234,,Sold,,,http://www.redfin.com/CA/Los-Angeles/5841-Ernest-Ave-90034/home/6901957,CRMLS,OC18232759,N,Y,34.0346892,-118.3726992
